tenure,TotalCharges,SeniorCitizen,Contract_One year,Contract_Two year,InternetService_Fiber optic,InternetService_No,PaymentMethod_Electronic check,OnlineSecurity_Yes,PaperlessBilling,Churn
1,29.85,0,0,0,0,0,1,0,1,0
34,1889.5,0,1,0,0,0,0,1,0,0
2,108.15,0,0,0,0,0,0,1,1,1
45,1840.75,0,1,0,0,0,0,1,0,0
2,151.65,0,0,0,1,0,1,0,1,1
8,820.5,0,0,0,1,0,1,0,1,1
22,1949.4,0,0,0,1,0,0,0,1,0
10,301.9,0,0,0,0,0,0,1,0,0
28,3046.05,0,0,0,1,0,1,0,1,1
62,3487.95,0,1,0,0,0,0,1,0,0
13,587.45,0,0,0,0,0,0,1,1,0
16,326.8,0,0,1,0,1,0,0,0,0
58,5681.1,0,1,0,1,0,0,0,0,0
49,5036.3,0,0,0,1,0,0,0,1,1
25,2686.05,0,0,0,1,0,1,1,1,0
69,7895.15,0,0,1,1,0,0,1,0,0
52,1022.95,0,1,0,0,1,0,0,0,0
71,7382.25,0,0,1,1,0,0,1,0,0
10,528.35,0,0,0,0,0,0,0,0,1
21,1862.9,0,0,0,1,0,1,0,1,0
1,39.65,1,0,0,0,0,1,0,1,1
12,202.25,0,1,0,0,1,0,0,0,0
1,20.15,0,0,0,0,1,0,0,0,1
58,3505.1,0,0,1,0,0,0,0,1,0
49,2970.3,0,0,0,0,0,0,1,0,0
30,1530.6,0,0,0,0,0,0,1,1,0
47,4749.15,0,0,0,1,0,1,0,1,1
1,30.2,0,0,0,0,0,1,0,0,1
72,6369.45,0,0,1,0,0,0,1,1,0
17,1093.1,0,0,0,0,0,0,0,1,1
71,6766.95,1,0,1,1,0,0,1,1,0
2,181.65,1,0,0,1,0,0,0,1,0
27,1874.45,0,1,0,0,0,0,1,0,0
1,20.2,0,0,0,0,1,0,0,0,0
1,45.25,1,0,0,0,0,0,0,0,0
72,7251.7,0,0,1,1,0,0,1,0,0
5,316.9,0,0,0,1,0,1,0,1,1
46,3548.3,0,0,0,1,0,0,0,1,0
34,3549.25,0,0,0,1,0,1,0,1,1
11,1105.4,0,0,0,1,0,0,0,1,1
10,475.7,0,1,0,0,0,0,0,0,0
70,4872.35,0,0,1,0,0,0,1,1,0
17,418.25,0,1,0,0,1,0,0,0,0
63,4861.45,0,0,1,0,0,0,1,1,0
13,981.45,0,0,0,0,0,1,1,1,0
49,3906.7,0,0,0,1,0,1,0,1,0
2,97.0,0,0,0,0,0,0,0,0,0
2,144.15,0,0,0,1,0,1,0,1,1
52,4217.8,0,0,1,0,0,0,1,1,0
69,4254.1,0,0,1,0,0,0,1,1,0
43,3838.75,1,0,0,1,0,1,0,1,0
15,1426.4,0,0,0,1,0,0,1,1,1
25,1752.65,1,0,0,0,0,0,1,1,0
8,633.3,1,0,0,1,0,0,0,1,1
60,4456.35,1,1,0,0,0,0,1,1,0
18,1752.55,1,0,0,1,0,1,0,1,1
63,6311.2,0,1,0,1,0,0,1,1,0
66,7076.35,1,1,0,1,0,1,0,1,0
34,894.3,0,0,1,0,1,0,0,0,0
72,7853.7,0,0,1,1,0,0,0,1,0
47,4707.1,0,0,0,1,0,1,0,1,0
60,5450.7,0,0,0,1,0,0,0,1,0
72,2962.0,0,0,1,0,0,0,1,0,0
18,957.1,0,1,0,0,0,0,0,1,0
9,857.25,0,0,0,1,0,1,0,0,1
3,244.1,0,0,0,0,0,1,0,1,0
47,3650.35,0,1,0,1,0,1,0,1,0
31,2497.2,0,0,1,0,0,0,0,0,0
50,930.9,0,0,1,0,1,0,0,0,0
10,887.35,0,0,0,1,0,0,1,1,0
1,49.05,0,0,0,0,0,0,0,0,0
52,1090.65,0,1,0,0,1,1,0,1,0
64,7099.0,1,0,1,1,0,0,1,1,0
62,1424.6,0,0,1,0,1,0,0,1,0
3,177.4,0,0,0,0,0,0,1,1,0
56,6139.5,1,1,0,1,0,1,1,0,0
46,2688.85,0,1,0,0,0,0,0,0,0
8,482.25,0,0,0,0,0,0,1,0,0
30,2111.3,1,0,0,0,0,1,1,1,0
45,1216.6,0,1,0,0,1,0,0,1,0
1,79.35,0,0,0,1,0,1,0,1,1
11,565.35,0,0,0,0,0,1,1,0,0
7,496.9,0,0,0,1,0,0,0,1,1
42,4327.5,0,0,0,1,0,0,0,1,0
49,973.35,0,0,1,0,1,0,0,1,0
9,918.75,0,0,0,1,0,0,0,1,0
35,2215.45,0,1,0,0,0,0,1,1,0
48,1057.0,0,0,1,0,1,0,0,0,0
46,927.1,0,0,1,0,1,0,0,1,0
29,1009.25,0,0,0,0,0,0,0,0,0
30,2570.2,0,0,0,1,0,0,0,0,0
