iter	Passed	Remaining
0	140	70105
1	143	35639
2	145	24132
3	148	18464
4	151	14961
5	153	12645
6	155	10974
7	158	9723
8	160	8750
9	163	8003
10	165	7379
11	169	6894
12	172	6443
13	174	6065
14	177	5735
15	180	5470
16	183	5226
17	186	4999
18	189	4790
19	192	4609
20	194	4447
21	199	4328
22	201	4186
23	204	4055
24	206	3932
25	209	3824
26	212	3727
27	215	3632
28	218	3544
29	220	3460
30	223	3384
31	226	3311
32	228	3238
33	231	3178
34	233	3108
35	236	3047
36	239	2991
37	241	2936
38	244	2893
39	247	2850
40	250	2809
41	253	2763
42	256	2722
43	259	2687
44	274	2776
45	289	2859
46	292	2823
47	296	2788
48	298	2749
49	301	2713
50	304	2680
51	307	2647
52	310	2621
53	314	2594
54	317	2567
55	320	2544
56	325	2531
57	329	2508
58	332	2484
59	336	2467
60	339	2441
61	342	2421
62	345	2398
63	348	2372
64	350	2348
65	353	2324
66	355	2300
67	359	2282
68	361	2261
69	364	2239
70	367	2218
71	369	2197
72	372	2176
73	375	2159
74	377	2141
75	380	2123
76	383	2106
77	386	2090
78	389	2074
79	392	2061
80	396	2049
81	398	2030
82	401	2016
83	403	2000
84	407	1987
85	410	1974
86	413	1960
87	415	1945
88	418	1932
89	420	1917
90	424	1905
91	426	1892
92	429	1877
93	431	1864
94	434	1850
95	436	1837
96	439	1827
97	442	1816
98	445	1806
99	448	1793
100	450	1781
101	453	1769
102	456	1759
103	459	1749
104	462	1740
105	465	1730
106	467	1718
107	470	1708
108	474	1700
109	476	1690
110	479	1679
111	481	1669
112	484	1659
113	488	1652
114	491	1643
115	494	1635
116	496	1626
117	499	1617
118	502	1609
119	505	1601
120	508	1592
121	510	1582
122	513	1572
123	515	1564
124	518	1555
125	521	1547
126	523	1538
127	526	1529
128	528	1520
129	531	1511
130	533	1503
131	536	1495
132	538	1487
133	541	1479
134	544	1471
135	546	1462
136	549	1454
137	551	1447
138	554	1440
139	556	1431
140	559	1423
141	561	1416
142	565	1411
143	568	1406
144	572	1401
145	575	1395
146	578	1389
147	581	1384
148	585	1378
149	588	1373
150	591	1366
151	594	1360
152	598	1356
153	601	1351
154	604	1345
155	607	1340
156	610	1334
157	613	1327
158	615	1320
159	619	1315
160	622	1309
161	625	1304
162	628	1300
163	632	1295
164	635	1290
165	638	1284
166	640	1277
167	643	1271
168	645	1264
169	648	1258
170	651	1253
171	654	1247
172	657	1241
173	660	1236
174	662	1230
175	665	1225
176	668	1219
177	670	1213
178	673	1206
179	675	1201
180	678	1195
181	681	1191
182	684	1185
183	687	1180
184	689	1174
185	692	1169
186	695	1163
187	698	1159
188	701	1153
189	703	1148
190	705	1142
191	708	1136
192	710	1130
193	714	1126
194	718	1123
195	721	1118
196	724	1113
197	726	1108
198	729	1104
199	732	1098
200	735	1093
201	737	1087
202	739	1082
203	742	1077
204	745	1072
205	748	1068
206	751	1064
207	754	1059
208	757	1054
209	759	1049
210	762	1044
211	765	1039
212	768	1035
213	770	1030
214	773	1025
215	776	1021
216	780	1018
217	783	1013
218	786	1009
219	789	1004
220	792	1000
221	795	996
222	798	991
223	801	987
224	803	982
225	806	977
226	808	972
227	811	968
228	814	964
229	817	959
230	820	955
231	823	951
232	826	946
233	829	942
234	831	937
235	834	932
236	836	928
237	838	923
238	841	918
239	844	914
240	846	910
241	849	905
242	852	901
243	854	896
244	857	892
245	860	888
246	862	883
247	865	879
248	867	874
249	870	870
250	872	865
251	875	861
252	878	857
253	881	853
254	883	848
255	886	844
256	888	840
257	891	836
258	894	832
259	896	827
260	899	823
261	901	818
262	903	814
263	906	810
264	909	806
265	911	802
266	914	797
267	916	793
268	919	789
269	921	785
270	924	781
271	927	777
272	930	773
273	932	769
274	935	765
275	937	761
276	940	757
277	943	753
278	945	749
279	948	745
280	950	741
281	953	736
282	956	733
283	960	730
284	963	726
285	965	722
286	968	718
287	971	714
288	973	711
289	976	707
290	978	703
291	981	699
292	983	695
293	986	691
294	989	687
